stand_anim|attack_anim|note
4299|4300|curated:b237:unambiguous-symbol-family
4303|4307|curated:b237:unambiguous-symbol-family
4386|4387|curated:b237:unambiguous-symbol-family
4472|4474|curated:b237:unambiguous-symbol-family
4524|4522|curated:b237:unambiguous-symbol-family
4619|64|curated:b237:unambiguous-symbol-family
4650|4652|curated:b237:unambiguous-symbol-family
4656|4658|curated:b237:unambiguous-symbol-family
4662|4666|curated:b237:unambiguous-symbol-family
4663|4667|curated:b237:unambiguous-symbol-family
4670|4672|curated:b237:unambiguous-symbol-family
4675|4678|curated:b237:unambiguous-symbol-family
4702|4701|curated:b237:unambiguous-symbol-family
4703|4701|curated:b237:unambiguous-symbol-family
4711|4701|curated:b237:unambiguous-symbol-family
4777|4776|curated:b237:unambiguous-symbol-family
4828|4829|curated:b237:unambiguous-symbol-family
4866|4868|curated:b237:unambiguous-symbol-family
4914|4915|curated:b237:unambiguous-symbol-family
4919|4925|curated:b237:unambiguous-symbol-family
4920|4926|curated:b237:unambiguous-symbol-family
4932|4933|curated:b237:unambiguous-symbol-family
4986|4987|curated:b237:unambiguous-symbol-family
5029|5031|curated:b237:unambiguous-symbol-family
5090|5092|curated:b237:unambiguous-symbol-family
5094|5097|curated:b237:unambiguous-symbol-family
5160|5162|curated:b237:unambiguous-symbol-family
5188|5189|curated:b237:unambiguous-symbol-family
5280|5281|curated:b237:unambiguous-symbol-family
5302|5304|curated:b237:unambiguous-symbol-family
5318|5319|curated:b237:unambiguous-symbol-family
5326|5327|curated:b237:unambiguous-symbol-family
5335|5338|curated:b237:unambiguous-symbol-family
5339|5341|curated:b237:unambiguous-symbol-family
5386|5387|curated:b237:unambiguous-symbol-family
5393|5396|curated:b237:unambiguous-symbol-family
5410|5411|curated:b237:unambiguous-symbol-family
5424|5075|curated:b237:unambiguous-symbol-family
5455|5457|curated:b237:unambiguous-symbol-family
5493|5499|curated:b237:unambiguous-symbol-family
5495|5499|curated:b237:unambiguous-symbol-family
5505|5507|curated:b237:unambiguous-symbol-family
5510|5512|curated:b237:unambiguous-symbol-family
5517|5519|curated:b237:unambiguous-symbol-family
5530|5532|curated:b237:unambiguous-symbol-family
5538|5540|curated:b237:unambiguous-symbol-family
5548|5549|curated:b237:unambiguous-symbol-family
5551|5554|curated:b237:unambiguous-symbol-family
5565|5568|curated:b237:unambiguous-symbol-family
5572|5571|curated:b237:unambiguous-symbol-family
5576|5578|curated:b237:unambiguous-symbol-family
5589|5591|curated:b237:unambiguous-symbol-family
5594|5597|curated:b237:unambiguous-symbol-family
5616|5617|curated:b237:unambiguous-symbol-family
5641|5643|curated:b237:unambiguous-symbol-family
5646|5647|curated:b237:unambiguous-symbol-family
5650|5651|curated:b237:unambiguous-symbol-family
5656|5657|curated:b237:unambiguous-symbol-family
5668|5669|curated:b237:unambiguous-symbol-family
5720|2267|curated:b237:unambiguous-symbol-family
5722|5724|curated:b237:unambiguous-symbol-family
5785|5782|curated:b237:unambiguous-symbol-family
5839|5842|curated:b237:unambiguous-symbol-family
5852|5849|curated:b237:unambiguous-symbol-family
5879|5880|curated:b237:unambiguous-symbol-family
5883|5884|curated:b237:unambiguous-symbol-family
5888|5889|curated:b237:unambiguous-symbol-family
5973|5970|curated:b237:unambiguous-symbol-family
5986|5989|curated:b237:unambiguous-symbol-family
6010|6012|curated:b237:unambiguous-symbol-family
6040|1785|curated:b237:unambiguous-symbol-family
6078|6079|curated:b237:unambiguous-symbol-family
6089|6090|curated:b237:unambiguous-symbol-family
6127|6117|curated:b237:unambiguous-symbol-family
6153|6154|curated:b237:unambiguous-symbol-family
6181|6184|curated:b237:unambiguous-symbol-family
6186|6188|curated:b237:unambiguous-symbol-family
6205|99|curated:b237:unambiguous-symbol-family
6206|99|curated:b237:unambiguous-symbol-family
6207|99|curated:b237:unambiguous-symbol-family
6208|99|curated:b237:unambiguous-symbol-family
6247|6249|curated:b237:unambiguous-symbol-family
6252|6261|curated:b237:unambiguous-symbol-family
6258|6261|curated:b237:unambiguous-symbol-family
6263|6265|curated:b237:unambiguous-symbol-family
6311|6310|curated:b237:unambiguous-symbol-family
6328|6329|curated:b237:unambiguous-symbol-family
6338|6342|curated:b237:unambiguous-symbol-family
6343|6345|curated:b237:unambiguous-symbol-family
6350|6342|curated:b237:unambiguous-symbol-family
6371|6368|curated:b237:unambiguous-symbol-family
6374|6376|curated:b237:unambiguous-symbol-family
6487|6489|curated:b237:unambiguous-symbol-family
6496|80|curated:b237:unambiguous-symbol-family
6504|6501|curated:b237:unambiguous-symbol-family
6511|6513|curated:b237:unambiguous-symbol-family
6518|6519|curated:b237:unambiguous-symbol-family
6539|6536|curated:b237:unambiguous-symbol-family
6561|6562|curated:b237:unambiguous-symbol-family
6580|6559|curated:b237:unambiguous-symbol-family
6729|6726|curated:b237:unambiguous-symbol-family
6764|6761|curated:b237:unambiguous-symbol-family
6771|6775|curated:b237:unambiguous-symbol-family
6793|6790|curated:b237:unambiguous-symbol-family
6803|6800|curated:b237:unambiguous-symbol-family
6809|6811|curated:b237:unambiguous-symbol-family
6935|6948|curated:b237:unambiguous-symbol-family
6966|6967|curated:b237:unambiguous-symbol-family
7017|7018|curated:b237:unambiguous-symbol-family
7032|7036|curated:b237:unambiguous-symbol-family
7106|7109|curated:b237:unambiguous-symbol-family
7220|7218|curated:b237:unambiguous-symbol-family
7269|6579|curated:b237:unambiguous-symbol-family
7270|6579|curated:b237:unambiguous-symbol-family
7307|7308|curated:b237:unambiguous-symbol-family
7309|7311|curated:b237:unambiguous-symbol-family
7312|7314|curated:b237:unambiguous-symbol-family
7315|7318|curated:b237:unambiguous-symbol-family
7324|3855|curated:b237:unambiguous-symbol-family
7396|7398|curated:b237:unambiguous-symbol-family
7416|7410|curated:b237:unambiguous-symbol-family
7545|7547|curated:b237:unambiguous-symbol-family
7564|7566|curated:b237:unambiguous-symbol-family
7573|7574|curated:b237:unambiguous-symbol-family
7577|7578|curated:b237:unambiguous-symbol-family
7595|7597|curated:b237:unambiguous-symbol-family
7677|7678|curated:b237:unambiguous-symbol-family
7682|7685|curated:b237:unambiguous-symbol-family
7694|7696|curated:b237:unambiguous-symbol-family
7807|7808|curated:b237:unambiguous-symbol-family
7810|7811|curated:b237:unambiguous-symbol-family
7861|7863|curated:b237:unambiguous-symbol-family
7888|7890|curated:b237:unambiguous-symbol-family
7922|7923|curated:b237:unambiguous-symbol-family
7975|7978|curated:b237:unambiguous-symbol-family
7988|7989|curated:b237:unambiguous-symbol-family
7993|7999|curated:b237:unambiguous-symbol-family
8002|8004|curated:b237:unambiguous-symbol-family
8009|8010|curated:b237:unambiguous-symbol-family
8022|8025|curated:b237:unambiguous-symbol-family
8274|8275|curated:b237:unambiguous-symbol-family
8282|8283|curated:b237:unambiguous-symbol-family
8307|8308|curated:b237:unambiguous-symbol-family
8340|8425|curated:b237:unambiguous-symbol-family
8497|8499|curated:b237:unambiguous-symbol-family
8509|8510|curated:b237:unambiguous-symbol-family
8842|8844|curated:b237:unambiguous-symbol-family
8875|8878|curated:b237:unambiguous-symbol-family
9072|9076|curated:b237:unambiguous-symbol-family
9073|9077|curated:b237:unambiguous-symbol-family
9091|9092|curated:b237:unambiguous-symbol-family
9095|9097|curated:b237:unambiguous-symbol-family
9137|9140|curated:b237:unambiguous-symbol-family
9161|9205|curated:b237:unambiguous-symbol-family
9177|9180|curated:b237:unambiguous-symbol-family
9195|9194|curated:b237:unambiguous-symbol-family
9379|7308|curated:b237:unambiguous-symbol-family
9586|9587|curated:b237:unambiguous-symbol-family
9592|9594|curated:b237:unambiguous-symbol-family
9594|9594|curated:b237:unambiguous-symbol-family
9836|4776|curated:b237:unambiguous-symbol-family
10435|10438|curated:b237:unambiguous-symbol-family
10450|10453|curated:b237:unambiguous-symbol-family
10555|10556|curated:b237:unambiguous-symbol-family
10674|10668|curated:b237:unambiguous-symbol-family
10778|10776|curated:b237:unambiguous-symbol-family
10995|10987|curated:b237:unambiguous-symbol-family
10999|10987|curated:b237:unambiguous-symbol-family
11016|11022|curated:b237:unambiguous-symbol-family
11044|11045|curated:b237:unambiguous-symbol-family
11047|11049|curated:b237:unambiguous-symbol-family
11391|11392|curated:b237:unambiguous-symbol-family
11528|11530|curated:b237:unambiguous-symbol-family
11581|11584|curated:b237:unambiguous-symbol-family
11662|11664|curated:b237:unambiguous-symbol-family
11780|11781|curated:b237:unambiguous-symbol-family
12480|12483|curated:b237:unambiguous-symbol-family
12490|9097|curated:b237:unambiguous-symbol-family
12530|12532|curated:b237:unambiguous-symbol-family
12536|12532|curated:b237:unambiguous-symbol-family
12978|12980|curated:b237:unambiguous-symbol-family
13634|13637|curated:b237:unambiguous-symbol-family
13641|13644|curated:b237:unambiguous-symbol-family
13781|13783|curated:b237:unambiguous-symbol-family
13839|13848|curated:b237:unambiguous-symbol-family
13840|13850|curated:b237:unambiguous-symbol-family
13841|13851|curated:b237:unambiguous-symbol-family
