kind|key|style|attack_anim|launch_spotanim|travel_spotanim|impact_spotanim|projectile_model|projectile_anim|hit_delay|client_delay|proj_start_height|proj_end_height|proj_delay|proj_angle|proj_length_adjustment|proj_progress|proj_step_multiplier|note|projectile_count|alt_proj_start_height|alt_proj_end_height|alt_proj_delay|alt_proj_angle|alt_proj_length_adjustment|alt_proj_progress|alt_proj_step_multiplier|aux_travel_spotanim|aux_impact_spotanim|aux_projectile_model|aux_projectile_anim|impact_on_last_only|double_launch_spotanim|stance_idx|attack_key|launch_gfx_height|impact_gfx_height|impact_gfx_delay|impact_gfx_rotation|primitive_type|source_attachment|target_attachment|launch_attachment|impact_attachment|authority
item|803|ranged|-|45|38|-|3148|372|2|2|163|146|32|15|0|11|5|rsmod:mithril_thrownaxe:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|803|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_thrownaxe:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|803|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_thrownaxe:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|803|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_thrownaxe:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|804|ranged|-|46|39|-|3148|372|2|2|163|146|32|15|0|11|5|rsmod:adamnt_thrownaxe:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|804|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamnt_thrownaxe:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|804|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamnt_thrownaxe:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|804|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamnt_thrownaxe:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|805|ranged|-|48|41|-|3148|372|2|2|163|146|32|15|0|11|5|rsmod:rune_thrownaxe:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|805|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_thrownaxe:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|805|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_thrownaxe:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|805|ranged|7617|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_thrownaxe:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|806|ranged|-|232|226|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|806|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|806|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|806|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|807|ranged|-|233|227|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|807|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|807|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|807|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|808|ranged|-|234|228|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|808|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|808|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|808|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|809|ranged|-|235|229|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|809|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|809|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|809|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|810|ranged|-|236|230|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|810|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|810|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|810|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|811|ranged|-|237|231|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|811|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|811|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|811|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|812|ranged|-|232|226|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart_p:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|812|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart_p:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|812|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart_p:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|812|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:bronze_dart_p:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|813|ranged|-|233|227|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart_p:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|813|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart_p:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|813|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart_p:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|813|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:iron_dart_p:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|814|ranged|-|234|228|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart_p:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|814|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart_p:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|814|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart_p:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|814|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:steel_dart_p:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|815|ranged|-|235|229|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart_p:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|815|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart_p:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|815|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart_p:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|815|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:mithril_dart_p:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|816|ranged|-|236|230|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart_p:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|816|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart_p:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|816|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart_p:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|816|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:adamant_dart_p:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|817|ranged|-|237|231|-|3131|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart_p:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|source_actor|target_actor|rsmod
item|817|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart_p:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|817|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart_p:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|817|ranged|7554|-|-|-|-|-|2|2|163|146|32|15|0|11|5|rsmod:rune_dart_p:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|825|ranged|-|-|200|-|3144|-|2|2|-|-|-|-|-|-|-|rsmod:bronze_javelin:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|none|target_actor|rsmod
item|826|ranged|-|-|201|-|3144|-|2|2|-|-|-|-|-|-|-|rsmod:iron_javelin:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|none|target_actor|rsmod
item|827|ranged|-|-|202|-|3144|-|2|2|-|-|-|-|-|-|-|rsmod:steel_javelin:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|none|target_actor|rsmod
item|828|ranged|-|-|203|-|3144|-|2|2|-|-|-|-|-|-|-|rsmod:mithril_javelin:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|none|target_actor|rsmod
item|829|ranged|-|-|204|-|3144|-|2|2|-|-|-|-|-|-|-|rsmod:adamant_javelin:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|none|target_actor|rsmod
item|830|ranged|-|-|205|-|3144|-|2|2|-|-|-|-|-|-|-|rsmod:rune_javelin:projectile|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|travel_projectile|source_actor|target_actor|none|target_actor|rsmod
item|837|ranged|7552|-|-|-|-|-|3|3|155|146|41|5|5|11|5|rsmod:crossbow:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|837|ranged|7552|-|-|-|-|-|3|3|155|146|41|5|5|11|5|rsmod:crossbow:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|837|ranged|7552|-|-|-|-|-|3|3|155|146|41|5|5|11|5|rsmod:crossbow:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|839|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:longbow:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|839|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:longbow:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|839|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:longbow:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|841|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:shortbow:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|841|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:shortbow:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|841|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:shortbow:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|843|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:oak_shortbow:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
item|843|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:oak_shortbow:attack:stance2|-|-|-|-|-|-|-|-|-|-|-|-|-|-|1|-|-|-|-|-|none|none|none|none|none|rsmod
item|843|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:oak_shortbow:attack:stance4|-|-|-|-|-|-|-|-|-|-|-|-|-|-|3|-|-|-|-|-|none|none|none|none|none|rsmod
item|845|ranged|426|-|-|-|-|-|3|3|163|146|41|15|5|11|5|rsmod:oak_longbow:attack:stance1|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0|-|-|-|-|-|none|none|none|none|none|rsmod
