strategy pages cached: 58
distinct templates: 312

  7447  plink                                     Abyssal Sire/Strategies, Abyssal Sire/Strategies, Abyssal Sire/Strategies
    20  NoCoins                                   Araxxor/Strategies, Gemstone Crab/Strategies, Gemstone Crab/Strategies
    19  mes                                       Amoxliatl/Strategies, Amoxliatl/Strategies, Brutus/Strategies
    18  Fairycode                                 Abyssal Sire/Strategies, Barrows/Strategies, Barrows/Strategies
    17  No                                        Doom of Mokhaiotl/Strategies, Doom of Mokhaiotl/Strategies, Doom of Mokhaiotl/Strategies
    17  MinPrice                                  Phantom Muspah/Strategies, Phantom Muspah/Strategies, Phantom Muspah/Strategies
    15  Tile markers box                          Abyssal Sire/Strategies, Alchemical Hydra/Strategies, Barrows/Strategies
    14  Efn                                       Kree'arra/Strategies, Kree'arra/Strategies, Kree'arra/Strategies
    12  External                                  Chaos Elemental/Strategies, Commander Zilyana/Strategies, Corporeal Beast/Strategies
    11  Map                                       Araxxor/Strategies, Artio/Strategies, Callisto/Strategies
    11  plinkt                                    Yama/Strategies, Yama/Strategies, Yama/Strategies
     7  Overhead                                  Demonic Brutus/Strategies, K'ril Tsutsaroth/Strategies, The Whisperer/Strategies
     7  NamedRef                                  Deranged archaeologist/Strategies, Tempoross/Strategies, Tempoross/Strategies
     7  #var:xpYesfletchFm                        Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     7  #var:xpYesfletchWc                        Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     7  #var:xpYesfletchFlt                       Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  rune pouch                                General Graardor/Strategies, K'ril Tsutsaroth/Strategies, K'ril Tsutsaroth/Strategies
     6  !                                         Kalphite Queen/Strategies, Kalphite Queen/Strategies, Kalphite Queen/Strategies
     6  nowrap                                    Phantom Muspah/Strategies, Phantom Muspah/Strategies, The Leviathan/Strategies
     6  #var:xpNofletchFm                         Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpNofletchWc                         Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpHopFm                              Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpHopWc                              Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpHopFlt                             Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloYesfletchFm                    Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloYesfletchWc                    Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloYesfletchCon                   Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloYesfletchFlt                   Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloNofletchFm                     Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloNofletchWc                     Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     6  #var:xpSoloNofletchCon                    Wintertodt/Strategies, Wintertodt/Strategies, Wintertodt/Strategies
     5  reflist                                   Calvar'ion/Strategies, Corporeal Beast/Strategies, Kree'arra/Strategies
     5  CiteNews                                  Duke Sucellus/Strategies, Royal Titans/Strategies, The Leviathan/Strategies
     5  PlainCiteTwitter                          King Black Dragon/Strategies, King Black Dragon/Strategies, King Black Dragon/Strategies
     4  bug                                       Calvar'ion/Strategies, Doom of Mokhaiotl/Strategies, Doom of Mokhaiotl/Strategies
     4  map                                       Moons of Peril/Strategies, Moons of Peril/Strategies, Moons of Peril/Strategies
